frame,y,x,bottom,right,class,class_str,score
7.0,0.06986171,0.45712376,0.9582303,0.91782594,85,clock,0.40303355
7.0,0.06986171,0.45712376,0.9582303,0.91782594,10,traffic light,0.34123015
8.0,0.07196647,0.45370302,0.96163124,0.9187987,10,traffic light,0.6553956
8.0,0.07196647,0.45370302,0.96163124,0.9187987,85,clock,0.4282769
9.0,0.07105765,0.4529197,0.9645983,0.9189558,10,traffic light,0.66924226
9.0,0.07105765,0.4529197,0.9645983,0.9189558,85,clock,0.41599536
10.0,0.07083595,0.45380184,0.9634495,0.91971827,10,traffic light,0.63141865
10.0,0.07083595,0.45380184,0.9634495,0.91971827,85,clock,0.44866037
11.0,0.07128215,0.45328483,0.96387076,0.91953576,10,traffic light,0.62984765
11.0,0.07128215,0.45328483,0.96387076,0.91953576,85,clock,0.46571812
12.0,0.07334319,0.4528911,0.9634917,0.91948426,10,traffic light,0.59357727
12.0,0.07334319,0.4528911,0.9634917,0.91948426,85,clock,0.54418826
13.0,0.07442951,0.4557987,0.96732783,0.91801685,10,traffic light,0.58583885
13.0,0.07442951,0.4557987,0.96732783,0.91801685,85,clock,0.5593386
14.0,0.06934467,0.45536447,0.96451056,0.93118346,10,traffic light,0.6479837
14.0,0.06934467,0.45536447,0.96451056,0.93118346,85,clock,0.5276485
18.0,0.010956019,0.005283475,0.9884273,0.99416655,78,microwave,0.33228534
22.0,0.01083678,0.011330605,0.9847045,0.9853438,77,cell phone,0.5175486
22.0,0.01083678,0.011330605,0.9847045,0.9853438,72,tv,0.34915516
23.0,0.026334465,0.054008096,0.98674864,0.9869362,77,cell phone,0.47821015
23.0,0.026334465,0.054008096,0.98674864,0.9869362,72,tv,0.31135488
24.0,0.019363403,0.101335555,0.99532855,0.99567366,72,tv,0.49137548
25.0,0.006967008,0.10704064,0.99443036,0.9962319,72,tv,0.45231465
25.0,0.006967008,0.10704064,0.99443036,0.9962319,77,cell phone,0.37942767
26.0,0.0005659461,0.12660363,0.9945663,0.9953147,72,tv,0.6188451
27.0,0.0075686276,0.13592353,0.99521446,0.9961237,72,tv,0.71235967
28.0,0.010175377,0.13313419,0.99083364,0.9887859,72,tv,0.59181684
29.0,0.010288179,0.13303027,0.9907256,0.98867047,72,tv,0.5953195
30.0,0.010178447,0.13399407,0.9907038,0.9888487,72,tv,0.6045268
31.0,0.009616226,0.13512254,0.9910556,0.98953307,72,tv,0.6132469
32.0,0.009984702,0.13337582,0.9906874,0.9888386,72,tv,0.6085499
33.0,0.010082543,0.13282457,0.9905034,0.98881996,72,tv,0.60937047
34.0,0.009871483,0.13311708,0.9906794,0.9890566,72,tv,0.61530024
35.0,0.009824663,0.1325792,0.9906955,0.9892442,72,tv,0.6152916
36.0,0.009898931,0.13293073,0.99073815,0.9894717,72,tv,0.615221
37.0,0.010213822,0.13317323,0.9904885,0.98931503,72,tv,0.6086866
38.0,0.010385454,0.13303742,0.99029046,0.98915124,72,tv,0.60522425
39.0,0.010329217,0.13384622,0.99035954,0.9892648,72,tv,0.6047077
40.0,0.010383487,0.13353634,0.99029005,0.9892347,72,tv,0.6046508
41.0,0.010648757,0.13316831,0.99013567,0.98893523,72,tv,0.5987556
42.0,0.010558307,0.13330567,0.9902157,0.9890176,72,tv,0.5985614
43.0,0.010601848,0.13282692,0.99019253,0.9890299,72,tv,0.59771705
44.0,0.010386884,0.13245374,0.9903777,0.9892345,72,tv,0.5994389
45.0,0.010591269,0.13215622,0.99018085,0.9889535,72,tv,0.5958423
46.0,0.010620862,0.13239944,0.9901706,0.9889413,72,tv,0.59724116
47.0,0.010567993,0.13272002,0.99014115,0.98899984,72,tv,0.6035061
48.0,0.010582268,0.13340205,0.99011344,0.9889299,72,tv,0.60393614
49.0,0.010670304,0.13345778,0.9900538,0.98881185,72,tv,0.6038188
50.0,0.010677606,0.1334461,0.9900485,0.9888028,72,tv,0.60381085
51.0,0.0110526085,0.13406792,0.9909531,0.98992,72,tv,0.6216051
52.0,0.014877379,0.13348651,0.9912352,0.9898691,72,tv,0.6240314
53.0,0.01709485,0.13158545,0.9913534,0.9894005,72,tv,0.59023404
54.0,0.018944353,0.13199747,0.9913217,0.9898776,72,tv,0.62966186
55.0,0.01737994,0.12955025,0.9909561,0.9883572,72,tv,0.56247693
56.0,0.011084795,0.12881276,0.99126995,0.98789024,72,tv,0.42981982
57.0,0.006675273,0.12665021,0.9934895,0.9881269,72,tv,0.3365453
66.0,0.1154342,0.63812745,0.5613017,0.88412035,1,person,0.7647686
67.0,0.11216615,0.62656116,0.5458864,0.8476683,1,person,0.81068313
67.0,0.42571604,0.315262,0.94764555,0.5669831,73,laptop,0.58808744
67.0,0.13395962,0.75001574,0.4392639,0.8979063,1,person,0.42348665
67.0,0.7242243,0.32924476,0.9097742,0.53065413,76,keyboard,0.33569103
68.0,0.1004089,0.62191725,0.497132,0.84153414,1,person,0.69523764
68.0,0.7247554,0.32385015,0.928041,0.5495663,76,keyboard,0.5038295
68.0,0.2177585,0.016075663,0.66239476,0.15299857,1,person,0.42422813
